"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2JBPGV5S","journalArticle","1991","Kramer, Mark A.","Nonlinear principal component analysis using autoassociative neural networks","AIChE Journal","","1547-5905","https://doi.org/10.1002/aic.690370209","https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.690370209","Nonlinear principal component analysis is a novel technique for multivariate data analysis, similar to the well-known method of principal component analysis. NLPCA, like PCA, is used to identify and remove correlations among problem variables as an aid to dimensionality reduction, visualization, and exploratory data analysis. While PCA identifies only linear correlations between variables, NLPCA uncovers both linear and nonlinear correlations, without restriction on the character of the nonlinearities present in the data. NLPCA operates by training a feedforward neural network to perform the identity mapping, where the network inputs are reproduced at the output layer. The network contains an internal “bottleneck” layer (containing fewer nodes than input or output layers), which forces the network to develop a compact representation of the input data, and two additional hidden layers. The NLPCA method is demonstrated using time-dependent, simulated batch reaction data. Results show that NLPCA successfully reduces dimensionality and produces a feature space map resembling the actual distribution of the underlying system parameters.","1991","2021-03-16 13:41:25","2021-03-16 13:41:25","2021-03-16 13:41:25","233-243","","2","37","","","","","","","","","","en","Copyright © 1991 American Institute of Chemical Engineers","","","","Wiley Online Library","","_eprint: https://aiche.onlinelibrary.wiley.com/doi/pdf/10.1002/aic.690370209","<div data-schema-version=""2""><p>Annotation</p> <p>Auto Encoder (Nonlinear Principal Component Analysis NLPCA)</p> <p>Engineers are often confronted with the problem of extracting information about poorly-known process of data</p> <p>The dimensionality reduction is closely related to feature extraction and it can capture the information contained in the original data.</p> <p>The proposed method is the using multi-layer neural networks with same input and output and a bottleneck. The training target is to minimize the reconstruction error. Compared to PCA, the nonlinearity improve the performance of feature extraction.</p> <p>Datasets are generated by some simple functions.</p> <p>The results of experiments shows the reconstruction error is less than PCA and ANN without mapping layer.</p> <p>+ve: Can find and eliminates nonlinear correlations in the data. Can remove redundant information. More effective than PCA.</p> <p>-ve: Limited by the practicalities of computing functional approximations from limited data.</p> <p>The origin of auto encoder. A great milestone.</p> <p></p></div>","F:\Google Drive - Monash\Bibliography\Kramer_1991_Nonlinear principal component analysis using autoassociative neural networks.pdf; C:\Users\smczx\Zotero\storage\TA7ULUCD\aic.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMJ59NJI","journalArticle","1998","Lecun, Y.; Bottou, L.; Bengio, Y.; Haffner, P.","Gradient-based learning applied to document recognition","Proceedings of the IEEE","","1558-2256","10.1109/5.726791","","Multilayer neural networks trained with the back-propagation algorithm constitute the best example of a successful gradient based learning technique. Given an appropriate network architecture, gradient-based learning algorithms can be used to synthesize a complex decision surface that can classify high-dimensional patterns, such as handwritten characters, with minimal preprocessing. This paper reviews various methods applied to handwritten character recognition and compares them on a standard handwritten digit recognition task. Convolutional neural networks, which are specifically designed to deal with the variability of 2D shapes, are shown to outperform all other techniques. Real-life document recognition systems are composed of multiple modules including field extraction, segmentation recognition, and language modeling. A new learning paradigm, called graph transformer networks (GTN), allows such multimodule systems to be trained globally using gradient-based methods so as to minimize an overall performance measure. Two systems for online handwriting recognition are described. Experiments demonstrate the advantage of global training, and the flexibility of graph transformer networks. A graph transformer network for reading a bank cheque is also described. It uses convolutional neural network character recognizers combined with global training techniques to provide record accuracy on business and personal cheques. It is deployed commercially and reads several million cheques per day.","1998-11","2021-03-16 13:50:37","2021-03-16 15:33:19","","2278-2324","","11","86","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: Proceedings of the IEEE","<div data-schema-version=""2""><p>Annotation</p> <p>Convolutional Neural Networks (CNN) and LeNet</p> <p>To find a better pattern recognition systems can be built by relying more on automatic learning and less on hand-designed heuristics.</p> <p>The new method is made possible by recent progress in machine learning and computer technology. The hand-crafted feature extraction can be advantageously replaced by carefully designed learning machines that operate directly on pixel images.</p> <p>The architecture of CNN is based on convolutional layers, pooling layers, and some fully-connected layers. Convolutional layers and pooling layers are effective for extracting features from 2D images, and they can also share the parameters with nearby numbers which can dramatically reduce the parameters, and it is beneficial for model performance.</p> <p>The dataset is the called MNIST, with 60000 training images and 10000 test images, combined by SD-1 and SD-2 datasets.</p> <p>The classification error of LeNet is lower compared to other traditional methods and fully-connected NN.</p> <p>+ve: Better classification performance than traditional methods and fully-connected NN. Suitable for hardware implementations with low memory requirements. More robust for shape variance and noise.</p> <p>-ve: Longer training time.</p> <p>The origin of CNN, huge contribution to computer vision area.</p></div>","C:\Users\smczx\Zotero\storage\8RPNJDWS\726791.html; F:\Google Drive - Monash\Bibliography\Lecun et al_1998_Gradient-based learning applied to document recognition.pdf","","","2D shape variability; back-propagation; backpropagation; Character recognition; cheque reading; complex decision surface synthesis; convolution; convolutional neural network character recognizers; document recognition; document recognition systems; Feature extraction; field extraction; gradient based learning technique; gradient-based learning; graph transformer networks; GTN; handwritten character recognition; handwritten digit recognition task; Hidden Markov models; high-dimensional patterns; language modeling; Machine learning; Multi-layer neural network; multilayer neural networks; multilayer perceptrons; multimodule systems; Neural networks; optical character recognition; Optical character recognition software; Optical computing; Pattern recognition; performance measure minimization; Principal component analysis; segmentation recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJPJAB46","journalArticle","2012","Hinton, Geoffrey E.; Srivastava, Nitish; Krizhevsky, Alex; Sutskever, Ilya; Salakhutdinov, Ruslan R.","Improving neural networks by preventing co-adaptation of feature detectors","arXiv:1207.0580 [cs]","","","","http://arxiv.org/abs/1207.0580","When a large feedforward neural network is trained on a small training set, it typically performs poorly on held-out test data. This ""overfitting"" is greatly reduced by randomly omitting half of the feature detectors on each training case. This prevents complex co-adaptations in which a feature detector is only helpful in the context of several other specific feature detectors. Instead, each neuron learns to detect a feature that is generally helpful for producing the correct answer given the combinatorially large variety of internal contexts in which it must operate. Random ""dropout"" gives big improvements on many benchmark tasks and sets new records for speech and object recognition.","2012-07-03","2021-03-16 13:52:06","2021-04-07 06:44:01","2021-03-16 13:52:06","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1207.0580","<div data-schema-version=""2""><p>Annotation</p> <p>Dropout</p> <p>The overfitting, do worse on the test data than on the training data, happens.</p> <p>Finding a similar method with ""mean network"", which is formed by many separate networks, to reduce the test set error.</p> <p>The dropout is used as disable some proportion of hidden units in training process to prevent the hidden units replies to others. Normally, the drop probability is set to 0.5.</p> <p>Datasets are MNIST, TIMIT benchmark, CIFAR-10, ImageNet, and Reuters.</p> <p>The main metrics for comparison is the classification error for test set. The performance of dropout network is similar to ""mean network"", and better than the network without dropout.</p> <p>+ve: Almost all dropout probabilities can improve the generalization performance of the models. Dropout is simpler to implement.</p> <p>-ve: Some extreme probabilities will cause the performance worse.</p> </div>","C:\Users\smczx\Zotero\storage\PCYSDJFS\1207.html; F:\Google Drive - Monash\Bibliography\Hinton et al_2012_Improving neural networks by preventing co-adaptation of feature detectors.pdf","","","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLKIMCG8","journalArticle","2009","Bengio, Y.","Learning Deep Architectures for AI","Foundations and Trends® in Machine Learning","","1935-8237, 1935-8245","10.1561/2200000006","http://www.nowpublishers.com/article/Details/MAL-006","Theoretical results suggest that in order to learn the kind of complicated functions that can represent high-level abstractions (e.g., in vision, language, and other AI-level tasks), one may need deep architectures. Deep architectures are composed of multiple levels of non-linear operations, such as in neural nets with many hidden layers or in complicated propositional formulae re-using many sub-formulae. Searching the parameter space of deep architectures is a difficult task, but learning algorithms such as those for Deep Belief Networks have recently been proposed to tackle this problem with notable success, beating the stateof-the-art in certain areas. This monograph discusses the motivations and principles regarding learning algorithms for deep architectures, in particular those exploiting as building blocks unsupervised learning of single-layer models such as Restricted Boltzmann Machines, used to construct deeper models such as Deep Belief Networks.","2009","2021-03-16 13:56:40","2021-04-06 15:02:00","2021-03-16 13:56:40","1-127","","1","2","","FNT in Machine Learning","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""2""><p>Annotation </p> <p>Survey</p> <p>This paper introduced many architectures for deep learning. In chapter 2, the researchers explain that a deeper structure can extract the feature more accuracy. Besides, in chapter 5, the paper introduced the convolutional neural network and auto encoder, and they also introduced an optimization principle to initialize parameters for each layer by unsupervised learning, which the auto encoder is included in.</p></div>","F:\Google Drive - Monash\Bibliography\Bengio_2009_Learning Deep Architectures for AI.pdf","","Unreviewed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WMKXI6M","journalArticle","2006","Hinton, G. E.; Salakhutdinov, R. R.","Reducing the Dimensionality of Data with Neural Networks","Science","","0036-8075, 1095-9203","10.1126/science.1127647","https://science.sciencemag.org/content/313/5786/504","High-dimensional data can be converted to low-dimensional codes by training a multilayer neural network with a small central layer to reconstruct high-dimensional input vectors. Gradient descent can be used for fine-tuning the weights in such “autoencoder” networks, but this works well only if the initial weights are close to a good solution. We describe an effective way of initializing the weights that allows deep autoencoder networks to learn low-dimensional codes that work much better than principal components analysis as a tool to reduce the dimensionality of data. Neural networks can be used to reduce accurately high-dimensional data to lower dimensional representations for pattern recognition tasks. Neural networks can be used to reduce accurately high-dimensional data to lower dimensional representations for pattern recognition tasks.","2006-07-28","2021-03-16 14:00:23","2021-03-16 14:00:23","2021-03-16 14:00:23","504-507","","5786","313","","","","","","","","","","en","American Association for the Advancement of Science","","","","science.sciencemag.org","","Publisher: American Association for the Advancement of Science Section: Report PMID: 16873662","<div data-schema-version=""1""><p>Annotation</p> <p>Using RBM to pretrain the Auto encoder for dimensionality reduction.</p> <p>Multi-layer auto encoder is hard to train.</p> <p>Use a very different type of algorithm to pretrain the model and prove it can be generalized to other datasets.</p> <p>The method introduced in this paper uses RBM as the algorithm to pretrain the weights of an autoencoder. For each layer of the autoencoder, the weights will be pretrained as RBM, and pretrain the next layer. With the RBM pretrained weights, the autoencoder has better performance for reconstruction.</p> <p>MNIST hand-written digits and Olivetti face dataset</p> <p>No quantitative comparison.</p> <p>+ve: Better reconstruction results than PCA. This pretraining can also be used for classification and regression. Pretraining helps generalization. The autoencoders can map in bi-direction between data and code spaces. Can apply to very large datasets.</p> <p>-ve:</p> <p>Provide a new pretrain method for auto encoder to improve the performance. Combine the RBM and the neural networks.</p> <p></p> <p></p></div>","F:\Google Drive - Monash\Bibliography\Hinton_Salakhutdinov_2006_Reducing the Dimensionality of Data with Neural Networks.pdf; ; C:\Users\smczx\Zotero\storage\MVMYC94D\504.html","http://www.ncbi.nlm.nih.gov/pubmed/16873662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CA2QE2FS","journalArticle","2010","Vincent, Pascal; Larochelle, Hugo; Lajoie, Isabelle; Bengio, Yoshua; Manzagol, Pierre-Antoine","Stacked Denoising Autoencoders: Learning Useful Representations in a Deep Network with a Local Denoising Criterion","The Journal of Machine Learning Research","","1532-4435","","","We explore an original strategy for building deep networks, based on stacking layers of denoising autoencoders which are trained locally to denoise corrupted versions of their inputs. The resulting algorithm is a straightforward variation on the stacking of ordinary autoencoders. It is however shown on a benchmark of classification problems to yield significantly lower classification error, thus bridging the performance gap with deep belief networks (DBN), and in several cases surpassing it. Higher level representations learnt in this purely unsupervised fashion also help boost the performance of subsequent SVM classifiers. Qualitative experiments show that, contrary to ordinary autoencoders, denoising autoencoders are able to learn Gabor-like edge detectors from natural image patches and larger stroke detectors from digit images. This work clearly establishes the value of using a denoising criterion as a tractable unsupervised objective to guide the learning of useful higher level representations.","2010-12-01","2021-03-16 14:03:28","2021-03-16 14:03:28","","3371–3408","","","11","","J. Mach. Learn. Res.","Stacked Denoising Autoencoders","","","","","","","","","","","","3/1/2010","","","<div data-schema-version=""2""><p>Annotation</p> <p>Denoising autoencoder (DAE)</p> <p>To overcome the gap between the stacking RBMs and stacking autoencoders. And find out what can shape a good, useful representation.</p> <p>The authors were looking for unsupervised learning principles likely to lead to the learning of feature detectors that detect important structure in the input patterns. And expected the latent representation is robust and stable, also can perform denoising task.</p> <p>The method proposed is the DAE which adds the noise to input data, and train the autoencoder to reconstruct the original data without noise. The noise added can be Gaussian noise or masking noise. With the noise inside, DAE can learn the features more stable and robust. So, an autoencoder with noisy data input can encode as higher level representations which have better performance than without noise added. The stacked DAE is the pretrained method to improve the performance of autoencoder.</p> <p>The dataset used is the 12 x 12 patches from Olshausen for DAE. The MNIST, and tzanetakis audio genre classification data set for stacked DAE.</p> <p>They compared the test error rate for classification task with other methods, and the SDAE (stacked DAE) performs the best.</p> <p>+ve: Better performance than DBNs. Establish the value of using the denoising criterion as an unsupervised objective for useful higher level presentations.</p> <p>-ve: The DAEs used in the paper are shallow.</p> <p>This paper introduced a simple way (add noise to input data) to improve the performance of encoder, which is easy to implement and prove the value for denoising task in the AE training. </p> <p></p></div>","F:\Google Drive - Monash\Bibliography\Vincent et al_2010_Stacked Denoising Autoencoders.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"454BKCFN","journalArticle","2021","Doersch, Carl","Tutorial on Variational Autoencoders","arXiv:1606.05908 [cs, stat]","","","","http://arxiv.org/abs/1606.05908","In just three years, Variational Autoencoders (VAEs) have emerged as one of the most popular approaches to unsupervised learning of complicated distributions. VAEs are appealing because they are built on top of standard function approximators (neural networks), and can be trained with stochastic gradient descent. VAEs have already shown promise in generating many kinds of complicated data, including handwritten digits, faces, house numbers, CIFAR images, physical models of scenes, segmentation, and predicting the future from static images. This tutorial introduces the intuitions behind VAEs, explains the mathematics behind them, and describes some empirical behavior. No prior knowledge of variational Bayesian methods is assumed.","2021-01-03","2021-03-16 14:05:22","2021-04-06 15:06:51","2021-03-16 14:05:22","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1606.05908","<div data-schema-version=""1""><p>Annotation</p> <p>This paper introduces a variant of autoencoder, which is the variational autoencoder. For the ordinary autoencoder, the code is a n-dimensional vector. As for VAE, the code trained is a Gaussian distribution. In the network structure, the mean and the variance of the distribution will be trained. And then, the generator resample the code by the Gaussian distribution encoded. Compared with the vanilla autoencoder, VAE has better performance.</p></div>","C:\Users\smczx\Zotero\storage\GBJ99QGT\1606.html; F:\Google Drive - Monash\Bibliography\Doersch_2021_Tutorial on Variational Autoencoders.pdf","","Unreviewed","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8PJBJU3","journalArticle","2016","Makhzani, Alireza; Shlens, Jonathon; Jaitly, Navdeep; Goodfellow, Ian; Frey, Brendan","Adversarial Autoencoders","arXiv:1511.05644 [cs]","","","","http://arxiv.org/abs/1511.05644","In this paper, we propose the ""adversarial autoencoder"" (AAE), which is a probabilistic autoencoder that uses the recently proposed generative adversarial networks (GAN) to perform variational inference by matching the aggregated posterior of the hidden code vector of the autoencoder with an arbitrary prior distribution. Matching the aggregated posterior to the prior ensures that generating from any part of prior space results in meaningful samples. As a result, the decoder of the adversarial autoencoder learns a deep generative model that maps the imposed prior to the data distribution. We show how the adversarial autoencoder can be used in applications such as semi-supervised classification, disentangling style and content of images, unsupervised clustering, dimensionality reduction and data visualization. We performed experiments on MNIST, Street View House Numbers and Toronto Face datasets and show that adversarial autoencoders achieve competitive results in generative modeling and semi-supervised classification tasks.","2016-05-24","2021-03-16 14:06:13","2021-04-08 05:20:40","2021-03-16 14:06:13","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1511.05644","<div data-schema-version=""2""><p>Annotation</p> <p>Adversarial Autoencoder (AAE)</p> <p>The MCMC methods computing the gradient becomes more imprecise in training progress.</p> <p>Some generative models can avoid the difficulties of the training by being trained via direct back-propagation.</p> <p>The AAE can convert an autoencoder as a generative model. Both the reconstruction loss and adversarial loss are used in training, fitting the distribution of latent representation to any prior distribution (for example, normal distribution). The authors proposed several structures for unsupervised, semi-supervised and supervised lerning. In other word, the AAE has a discriminator classifing the latent representation if it is from encoder output or prior distribution. Therefore, with the discriminator loss, the encoder should confuse the discriminator to think all latent representations are from predefined distribution, which means these two distribution are identical. So the distribution of latent representation can be controlled.</p> <p>MNIST, Toronto face dataset (TFD) and SVHN.</p> <p>Use Log-likelihood of test data to compare with other generative networks. The results are the best. Use classification error for comparing the semi-supervised AAE structure with other generative networks. The results are the best compared to the others. Use clustering error rate to compare the clustering performance.</p> <p>+ve: Can use the prior distribution by its samples rather than the explicit functional form. Can be used in different situations (unsupervised, semi-unsupervised, clustering, ...). </p> <p>-ve:</p> <p>AAE is a great example for the improvement of AE, as it combined the concept of AE and GAN to regularize the distribution of latent representations.</p></div>","C:\Users\smczx\Zotero\storage\HFBFFJF8\1511.html; F:\Google Drive - Monash\Bibliography\Makhzani et al_2016_Adversarial Autoencoders.pdf","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQKA9BPK","journalArticle","2014","Shlens, Jonathon","A Tutorial on Principal Component Analysis","arXiv:1404.1100 [cs, stat]","","","","http://arxiv.org/abs/1404.1100","Principal component analysis (PCA) is a mainstay of modern data analysis - a black box that is widely used but (sometimes) poorly understood. The goal of this paper is to dispel the magic behind this black box. This manuscript focuses on building a solid intuition for how and why principal component analysis works. This manuscript crystallizes this knowledge by deriving from simple intuitions, the mathematics behind PCA. This tutorial does not shy away from explaining the ideas informally, nor does it shy away from the mathematics. The hope is that by addressing both aspects, readers of all levels will be able to gain a better understanding of PCA as well as the when, the how and the why of applying this technique.","2014-04-03","2021-03-16 14:08:59","2021-04-06 15:04:42","2021-03-16 14:08:59","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1404.1100","<div data-schema-version=""1""><p>Annotation</p> <p>This paper introduces how the PCA works and how to apply the PCA into datasets. The PCA was invented in 1901, and is a transformation to a new space with smaller dimension by scalar projection. Take a low dimension (2D) dataset as an example, the PCA means transforming the dataset to a line (1D) which has the projection of the dataset with the highest variance. If the transformed dimension is larger than 1, the new axis is located with the highest variance of dataset projection in the orthogonal plane of other axises.</p> <p><br> </p></div>","C:\Users\smczx\Zotero\storage\CR8D93IJ\1404.html; F:\Google Drive - Monash\Bibliography\Shlens_2014_A Tutorial on Principal Component Analysis.pdf","","Unreviewed","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPDBRJGH","journalArticle","1995","Cootes, T. F.; Taylor, C. J.; Cooper, D. H.; Graham, J.","Active Shape Models-Their Training and Application","Computer Vision and Image Understanding","","1077-3142","10.1006/cviu.1995.1004","https://www.sciencedirect.com/science/article/pii/S1077314285710041","Model-based vision is firmly established as a robust approach to recognizing and locating known rigid objects in the presence of noise, clutter, and occlusion. It is more problematic to apply model-based methods to images of objects whose appearance can vary, though a number of approaches based on the use of flexible templates have been proposed. The problem with existing methods is that they sacrifice model specificity in order to accommodate variability, thereby compromising robustness during image interpretation. We argue that a model should only be able to deform in ways characteristic of the class of objects it represents. We describe a method for building models by learning patterns of variability from a training set of correctly annotated images. These models can be used for image search in an iterative refinement algorithm analogous to that employed by Active Contour Models (Snakes). The key difference is that our Active Shape Models can only deform to fit the data in ways consistent with the training set. We show several practical examples where we have built such models and used them to locate partially occluded objects in noisy, cluttered images.","1995-01-01","2021-03-16 14:10:07","2021-03-16 14:10:07","2021-03-16 14:10:07","38-59","","1","61","","Computer Vision and Image Understanding","","","","","","","","en","","","","","ScienceDirect","","","<div data-schema-version=""2""><p>Annotation</p> <p>Active Shape Model (ASM)</p> <p>The problem of locating examples of known objects in images.</p> <p>The shape of the objects of same class may vary. Using flexible models or deformable templates can be used to allow for some degree of variability in the shape of the imaged objects.</p> <p>The method is to use mean template and a deformable transformation applied to point distribution model to fit the target shape. And the shape is constrained by PCA.</p> <p>The shapes of registers.</p> <p>No quantitative comparison with other methods.</p> <p>+ve: Low time and space complexity. Can be applied to a wide range of image interpretation tasks.</p> <p>-ve: Require annotations for training images. Not robust to noise, clutter and occlusion.</p> <p>A traditional method for shape fitting with the constrain of PCA and the training with transformation.</p></div>","F:\Google Drive - Monash\Bibliography\Cootes et al_1995_Active Shape Models-Their Training and Application.pdf; C:\Users\smczx\Zotero\storage\A9CBSJ67\S1077314285710041.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
